user_account,days_over_50_tweets,days_hour_ge_6_tweets,total_days_over_limit
Im_Cryptogen,0,1,1
ImamMughniy,0,1,1
Immaculata_City,0,1,1
ImmutableXY,0,1,1
Imrosei,0,1,1
Inc4TW,0,1,1
InoacCrypto,0,1,1
IntegrityWhale,0,1,1
IonovKai,0,2,2
Isaac,0,4,4
IsaacMiIler,0,1,1
Isaac_Burgees,0,3,3
IsabeMarins,0,3,3
IsackHadjarwdc,0,1,1
IsokoPepe,2,3,5
It's frank,0,1,1
ItsDrou,0,1,1
Itz_sun_sun,0,1,1
IwuNewage,0,1,1
J4UP,0,1,1
JColasimo,0,1,1
JDWilliamsRU,0,1,1
JEFF_CRYPTO_11,8,20,28
JH,0,2,2
JHENIICARVALHO,0,4,4
JIRGLARTW,0,1,1
JMLV51,0,1,1
JOlgun48430,0,1,1
JPepe0x69,0,1,1
JQ1776pepe,0,6,6
JRWC__,1,1,2
JUQ877,0,1,1
JWick36889,0,4,4
Jaan19469Jaan,0,2,2
Jacek Lula,0,1,1
Jack,0,1,1
JackDaniel47163,0,1,1
JackMustTrade,0,1,1
"Jackie Chain (🐸,🛡️, 🍄,🤡)",0,1,1
Jackson56095,0,1,1
Jackson_futures,0,4,4
Jacktalksbackp,0,1,1
Jaden Beall,0,2,2
JadenOnChain,0,1,1
Jadenbenll,4,20,24
JaineBanoy,0,1,1
JakAdams420,4,13,17
JakerThePhantom,0,3,3
James Donald,0,1,1
James15154,0,1,1
James1Bennett,2,9,11
JamesEmmanuel_7,0,3,3
JamesKa24859114,0,1,1
James_Dittma,0,5,5
James_Melville5,0,6,6
James_jacksons,0,6,6
Jamesrich011,0,2,2
Jamesyazuka,0,1,1
Jamieshaw799331,0,1,1
JanetAdemo72688,0,3,3
JaredsGems,0,1,1
Jariatkabirtush,0,13,13
Jason Ai. Williams,0,1,1
JasonBaxte6221,0,1,1
JavierHasse,0,1,1
JaxonHodl,0,1,1
JayDos852208,0,1,1
JayVanOrman,0,15,15
Jayer Henri,0,2,2
JayerHenri,0,1,1
Jeff Staunton,0,1,1
Jeffpepe18118,0,3,3
JeffreyPar78282,0,1,1
JeliusPepe3272,0,1,1
Jeriah Hostetler,0,1,1
JerkTeim,0,1,1
JerryTommy34417,0,1,1
Jessicafugate96,0,1,1
JewProtectX,0,1,1
Jill,0,1,1
Jill_NFT22,0,1,1
Jim Rose,0,1,1
JimiCohen,0,1,1
Jmoetweets,0,1,1
Jmsesq555,0,15,15
JoeDretti,0,2,2
JoeGohMJ,0,1,1
JoeTrader,0,5,5
JohnJameso39806,0,9,9
JohnSchlongg,0,1,1
JohnTML_,0,1,1
John_Muller01,0,1,1
John_Robert_HQ,0,2,2
Johnny_Crypto69,0,1,1
Johnnycrpt,0,1,1
JohnsonSmi75479,0,2,2
Johnson_Jackso,1,3,4
Johnson_son1,0,3,3
JonJones604,0,1,1
JonPalacio11,0,1,1
Jonas_angelo23,0,5,5
JonathonMille17,0,2,2
Jonese,0,1,1
Jorge_A_Mince,1,8,9
Jose Cortez,0,1,1
Jose M,0,1,1
Ju Suzart,0,1,1
JuanDesingPepe,0,1,1
Juan_sanchez13,0,4,4
Juancar54496193,0,1,1
JudeI46418,1,4,5
JulianaX627487,0,1,1
JumongX23,0,1,1
JustLuckBoxing,0,1,1
JustSoBased,0,1,1
Jwr159,0,7,7
KGbrial,0,1,1
KING_MALAKA,0,6,6
KING_PEPE_III,0,3,3
KRYPTONIT_7,0,1,1
KaBrook20,0,1,1
Kai_Hivatari,0,1,1
KangNihaoX,0,1,1
KaradenizliSki1,0,1,1
KarmaBabyMusic,0,1,1
KassMiass,0,1,1
KatePepe70,0,1,1
KathleenEdge,0,1,1
KeisukeBajiee,0,1,1
Keith Grant,0,1,1
KekNative,0,1,1
KellieRaeAZ,0,1,1
KelsieEvans69,0,2,2
Kelvin,2,12,14
Kelvin22896,0,1,1
Kelvinfred017,3,10,13
Kelvinpaugh,0,3,3
Kenny Garlinghouse,0,2,2
KeremTosun999,1,7,8
Kevinforex667,1,2,3
Kevinlk20,0,1,1
KeyesSouth210,0,1,1
Kezban,0,1,1
Khalid Suraj,0,2,2
KhalidSuraj147,3,38,41
Khalifa_Charts,0,15,15
KingAqSam,1,4,5
KingEmrys112252,0,1,1
KingKamz7,0,1,1
KingOfWallz,0,1,1
KingPepe45,0,1,1
KingPepeVI,0,3,3
KingSello123,0,1,1
KingToshii,0,1,1
KingTrevorR,0,1,1
Kingdom Of Crypto,0,1,1
Kingkam.eth,0,1,1
Kisami81812,0,3,3
Kisip_Kaseop,0,2,2
KlissmannP76907,0,1,1
KnarfFiat,0,1,1
Kohlis_albion,0,3,3
KolaAnu85790,0,3,3
KorthBrian91478,0,1,1
Kory_pepe,0,3,3
KosmicDissident,0,2,2
KreativeNi90424,0,1,1
KrisJonah16073,0,1,1
Krypt0n1t3_P,0,1,1
KryptoSupe18335,0,8,8
Ksaynak16,0,1,1
KudiFinance,0,2,2
Kusal Pal,0,1,1
KushDocta777,0,1,1
KweenBurner,0,1,1
L0RD_007,0,1,1
L1XGemz,0,1,1
LASERNINJA007,0,1,1
LAYLEGEND,0,1,1
LB_Luckyboy,0,2,2
LEGIT_FIXEDS1,0,1,1
LEWIS ⚽️ 100% SURE BET TIPS 🔥🔥🔥,0,2,2
LGate711786,0,1,1
LITTLEBIG1990,0,2,2
LOKIMARSMEME,0,2,2
LPDesignNYC,0,3,3
LS2WAG,0,1,1
L_e_x4,0,2,2
LaClaseAntigua,0,7,7
LabsStake,0,4,4
LadyDSociety,0,1,1
LagaCeode,0,1,1
LaiuBel,0,3,3
Lan_Dovy1,0,1,1
Lance Collins,0,1,1
LarryRosenthal,0,1,1
Laryjr4,0,1,1
LasersAligned,0,1,1
Laskidpaysenger,0,1,1
LaswelGreg83921,2,24,26
